adresse,nature,niveau,hauteur_sol_mm,largeur_mm,profondeur_mm,hauteur_libre_mm,volume_m3,distance_quai_m
A1A01A01,pick,0,0,1246,1067,1333,1.7715,8.36
A1A01A02,pick,0,0,1246,1067,1333,1.7715,8.36
A1A01B01,pick,1,1333,169,1067,1219,0.2199,11.69
A1A01B02,pick,1,1333,169,1067,1219,0.2199,11.69
A1A01B03,pick,1,1333,169,1067,1219,0.2199,11.69
A1A01B04,pick,1,1333,169,1067,1219,0.2199,11.69
A1A01B05,pick,1,1333,169,1067,1219,0.2199,11.69
A1A01B06,pick,1,1333,169,1067,1219,0.2199,11.69
A1A01B07,pick,1,1333,169,1067,1219,0.2199,11.69
A1A01B08,pick,1,1333,169,1067,1219,0.2199,11.69
A1A01B09,pick,1,1333,169,1067,1219,0.2199,11.69
A1A01B10,pick,1,1333,169,1067,1219,0.2199,11.69
A1A01CG,over,2,2552,1246,1067,1219,1.6200,14.74
A1A01CD,over,2,2552,1246,1067,1219,1.6200,14.74
A1A01DG,over,3,3771,1246,1067,1106,1.4698,17.79
A1A01DD,over,3,3771,1246,1067,1106,1.4698,17.79
A1A02A01,pick,0,0,1246,1067,1333,1.7715,11.16
A1A02A02,pick,0,0,1246,1067,1333,1.7715,11.16
A1A02B01,pick,1,1333,169,1067,1219,0.2199,14.49
A1A02B02,pick,1,1333,169,1067,1219,0.2199,14.49
A1A02B03,pick,1,1333,169,1067,1219,0.2199,14.49
A1A02B04,pick,1,1333,169,1067,1219,0.2199,14.49
A1A02B05,pick,1,1333,169,1067,1219,0.2199,14.49
A1A02B06,pick,1,1333,169,1067,1219,0.2199,14.49
A1A02B07,pick,1,1333,169,1067,1219,0.2199,14.49
A1A02B08,pick,1,1333,169,1067,1219,0.2199,14.49
A1A02B09,pick,1,1333,169,1067,1219,0.2199,14.49
A1A02B10,pick,1,1333,169,1067,1219,0.2199,14.49
A1A02CG,over,2,2552,1246,1067,1219,1.6200,17.54
A1A02CD,over,2,2552,1246,1067,1219,1.6200,17.54
A1A02DG,over,3,3771,1246,1067,1106,1.4698,20.59
A1A02DD,over,3,3771,1246,1067,1106,1.4698,20.59
A1A03A01,pick,0,0,1246,1067,1333,1.7715,13.96
A1A03A02,pick,0,0,1246,1067,1333,1.7715,13.96
A1A03B01,pick,1,1333,169,1067,1219,0.2199,17.29
A1A03B02,pick,1,1333,169,1067,1219,0.2199,17.29
A1A03B03,pick,1,1333,169,1067,1219,0.2199,17.29
A1A03B04,pick,1,1333,169,1067,1219,0.2199,17.29
A1A03B05,pick,1,1333,169,1067,1219,0.2199,17.29
A1A03B06,pick,1,1333,169,1067,1219,0.2199,17.29
A1A03B07,pick,1,1333,169,1067,1219,0.2199,17.29
A1A03B08,pick,1,1333,169,1067,1219,0.2199,17.29
A1A03B09,pick,1,1333,169,1067,1219,0.2199,17.29
A1A03B10,pick,1,1333,169,1067,1219,0.2199,17.29
A1A03CG,over,2,2552,1246,1067,1219,1.6200,20.34
A1A03CD,over,2,2552,1246,1067,1219,1.6200,20.34
A1A03DG,over,3,3771,1246,1067,1106,1.4698,23.39
A1A03DD,over,3,3771,1246,1067,1106,1.4698,23.39
A1A04A01,pick,0,0,1246,1067,1333,1.7715,16.76
A1A04A02,pick,0,0,1246,1067,1333,1.7715,16.76
A1A04B01,pick,1,1333,169,1067,1219,0.2199,20.09
A1A04B02,pick,1,1333,169,1067,1219,0.2199,20.09
A1A04B03,pick,1,1333,169,1067,1219,0.2199,20.09
A1A04B04,pick,1,1333,169,1067,1219,0.2199,20.09
A1A04B05,pick,1,1333,169,1067,1219,0.2199,20.09
A1A04B06,pick,1,1333,169,1067,1219,0.2199,20.09
A1A04B07,pick,1,1333,169,1067,1219,0.2199,20.09
A1A04B08,pick,1,1333,169,1067,1219,0.2199,20.09
A1A04B09,pick,1,1333,169,1067,1219,0.2199,20.09
A1A04B10,pick,1,1333,169,1067,1219,0.2199,20.09
A1A04CG,over,2,2552,1246,1067,1219,1.6200,23.14
A1A04CD,over,2,2552,1246,1067,1219,1.6200,23.14
A1A04DG,over,3,3771,1246,1067,1106,1.4698,26.19
A1A04DD,over,3,3771,1246,1067,1106,1.4698,26.19
A1A05A01,pick,0,0,1246,1067,1333,1.7715,19.56
A1A05A02,pick,0,0,1246,1067,1333,1.7715,19.56
A1A05B01,pick,1,1333,169,1067,1219,0.2199,22.89
A1A05B02,pick,1,1333,169,1067,1219,0.2199,22.89
A1A05B03,pick,1,1333,169,1067,1219,0.2199,22.89
A1A05B04,pick,1,1333,169,1067,1219,0.2199,22.89
